,ask,bid,description,enabled,expired,expiry,expiryDescription,group,imfFactor,index,last,lowerBound,marginPrice,mark,moveStart,name,perpetual,positionLimitWeight,postOnly,priceIncrement,sizeIncrement,type,underlying,underlyingDescription,upperBound
0,,,Bitcoin MOVE 2019-09-25 Contracts,False,True,2019-09-26T00:00:00+00:00,2019-09-25,daily,0.002,8432.5079418,,-206.0,8432.5079418,235.36350101,2019-09-25T00:00:00+00:00,BTC-MOVE-20190925,False,1.0,False,0.25,0.0001,move,BTC,Bitcoin,1058.25
1,,,Bitcoin MOVE 2019-09-26 Contracts,False,True,2019-09-27T00:00:00+00:00,2019-09-26,daily,0.002,8062.77088054,,-91.5,8062.77088054,313.29493693,2019-09-26T00:00:00+00:00,BTC-MOVE-20190926,False,1.0,False,0.25,0.0001,move,BTC,Bitcoin,1118.0
2,,,Bitcoin MOVE 2019-09-27 Contracts,False,True,2019-09-28T00:00:00+00:00,2019-09-27,daily,0.002,8193.96720629,,-290.25,8193.96720629,119.44596713,2019-09-27T00:00:00+00:00,BTC-MOVE-20190927,False,1.0,False,0.25,0.0001,move,BTC,Bitcoin,938.25
3,,,Bitcoin MOVE 2019-09-28 Contracts,False,True,2019-09-29T00:00:00+00:00,2019-09-28,daily,0.002,8216.68358424,,-400.25,8216.68358424,17.63021239,2019-09-28T00:00:00+00:00,BTC-MOVE-20190928,False,1.0,False,0.25,0.0001,move,BTC,Bitcoin,841.0
4,,,Bitcoin MOVE 2019-09-29 Contracts,False,True,2019-09-30T00:00:00+00:00,2019-09-29,daily,0.002,8063.79636304,,-277.75,8063.79636304,128.39143275,2019-09-29T00:00:00+00:00,BTC-MOVE-20190929,False,1.0,False,0.25,0.0001,move,BTC,Bitcoin,935.5
5,,,Bitcoin MOVE 2019-09-30 Contracts,False,True,2019-10-01T00:00:00+00:00,2019-09-30,daily,0.002,8306.03171072,,-178.0,8306.03171072,222.96753597,2019-09-30T00:00:00+00:00,BTC-MOVE-20190930,False,1.0,False,0.25,0.0001,move,BTC,Bitcoin,1053.0
6,,,Bitcoin MOVE 2019-10-01 Contracts,False,True,2019-10-02T00:00:00+00:00,2019-10-01,daily,0.002,8324.99740674,,-329.25,8324.99740674,83.60923821,2019-10-01T00:00:00+00:00,BTC-MOVE-20191001,False,1.0,False,0.25,0.0001,move,BTC,Bitcoin,916.0
7,,,Bitcoin MOVE 2019-10-02 Contracts,False,True,2019-10-03T00:00:00+00:00,2019-10-02,daily,0.002,8378.37867434,,-393.25,8378.37867434,27.09297475,2019-10-02T00:00:00+00:00,BTC-MOVE-20191002,False,1.0,False,0.25,0.0001,move,BTC,Bitcoin,864.5
8,,,Bitcoin MOVE 2019-10-03 Contracts,False,True,2019-10-04T00:00:00+00:00,2019-10-03,daily,0.002,8242.05669764,,-311.75,8242.05669764,100.25168049,2019-10-03T00:00:00+00:00,BTC-MOVE-20191003,False,1.0,False,0.25,0.0001,move,BTC,Bitcoin,924.0
9,,,Bitcoin MOVE 2019-10-04 Contracts,False,True,2019-10-05T00:00:00+00:00,2019-10-04,daily,0.002,8156.57174568,,-399.75,8156.57174568,12.76569594,2019-10-04T00:00:00+00:00,BTC-MOVE-20191004,False,1.0,False,0.25,0.0001,move,BTC,Bitcoin,828.25
10,,,Bitcoin MOVE 2019-10-05 Contracts,False,True,2019-10-06T00:00:00+00:00,2019-10-05,daily,0.002,8144.20716799,,-403.0,8144.20716799,1.68531084,2019-10-05T00:00:00+00:00,BTC-MOVE-20191005,False,1.0,False,0.25,0.0001,move,BTC,Bitcoin,816.75
11,,,Bitcoin MOVE 2019-10-06 Contracts,False,True,2019-10-07T00:00:00+00:00,2019-10-06,daily,0.002,7865.12927737,,-102.25,7865.12927737,292.70447867,2019-10-06T00:00:00+00:00,BTC-MOVE-20191006,False,1.0,False,0.25,0.0001,move,BTC,Bitcoin,1080.75
12,,,Bitcoin MOVE 2019-10-07 Contracts,False,True,2019-10-08T00:00:00+00:00,2019-10-07,daily,0.002,8211.91461308,,-0.25,8211.91461308,413.2730124,2019-10-07T00:00:00+00:00,BTC-MOVE-20191007,False,1.0,False,0.25,0.0001,move,BTC,Bitcoin,1232.75
13,,,Bitcoin MOVE 2019-10-08 Contracts,False,True,2019-10-09T00:00:00+00:00,2019-10-08,daily,0.002,8183.20606079,,-375.0,8183.20606079,42.06191743,2019-10-08T00:00:00+00:00,BTC-MOVE-20191008,False,1.0,False,0.25,0.0001,move,BTC,Bitcoin,860.25
14,,,Bitcoin MOVE 2019-10-09 Contracts,False,True,2019-10-10T00:00:00+00:00,2019-10-09,daily,0.002,8586.0729571,,-25.0,8586.0729571,408.95475976,2019-10-09T00:00:00+00:00,BTC-MOVE-20191009,False,1.0,False,0.25,0.0001,move,BTC,Bitcoin,1268.0
15,,,Bitcoin MOVE 2019-10-10 Contracts,False,True,2019-10-11T00:00:00+00:00,2019-10-10,daily,0.002,8585.85312578,,-415.0,8585.85312578,11.47658357,2019-10-10T00:00:00+00:00,BTC-MOVE-20191010,False,1.0,False,0.25,0.0001,move,BTC,Bitcoin,870.25
16,,,Bitcoin MOVE 2019-10-11 Contracts,False,True,2019-10-12T00:00:00+00:00,2019-10-11,daily,0.002,8269.60160253,,-165.25,8269.60160253,247.37784412,2019-10-11T00:00:00+00:00,BTC-MOVE-20191011,False,1.0,False,0.25,0.0001,move,BTC,Bitcoin,1074.25
