,ask,bid,description,enabled,expired,expiry,expiryDescription,group,imfFactor,index,last,lowerBound,marginPrice,mark,moveStart,name,perpetual,positionLimitWeight,postOnly,priceIncrement,sizeIncrement,type,underlying,underlyingDescription,upperBound
0,,,Bitcoin Weekly MOVE 2019-11-15 Contracts,False,True,2019-11-16T00:00:00+00:00,2019-11-15,weekly,0.002,8456.23595952,,-114.75,8456.23595952,307.88596048,2019-11-09T00:00:00+00:00,BTC-MOVE-WK-20191115,False,1.0,False,0.25,0.0001,move,BTC,Bitcoin,1152.5
1,,,Bitcoin Weekly MOVE 2019-11-22 Contracts,False,True,2019-11-23T00:00:00+00:00,2019-11-22,weekly,0.002,7280.91357007,1194.25,821.5,7280.91357007,1186.68320578,2019-11-16T00:00:00+00:00,BTC-MOVE-WK-20191122,False,1.0,False,0.25,0.0001,move,BTC,Bitcoin,1920.25
2,,,Bitcoin Weekly MOVE 2019-11-29 Contracts,False,True,2019-11-30T00:00:00+00:00,2019-11-29,weekly,0.002,7753.30932407,516.25,149.5,7753.30932407,527.84935017,2019-11-23T00:00:00+00:00,BTC-MOVE-WK-20191129,False,1.0,False,0.25,0.0001,move,BTC,Bitcoin,1307.75
3,,,Bitcoin Weekly MOVE 2019-12-06 Contracts,False,True,2019-12-07T00:00:00+00:00,2019-12-06,weekly,0.002,7541.37154516,227.0,0.0,7541.37154516,231.28757168,2019-11-30T00:00:00+00:00,BTC-MOVE-WK-20191206,False,1.0,False,0.25,0.0001,move,BTC,Bitcoin,980.5
4,,,Bitcoin Weekly MOVE 2019-12-13 Contracts,False,True,2019-12-14T00:00:00+00:00,2019-12-13,weekly,0.002,7254.20412589,291.5,0.0,7254.20412589,292.85089548,2019-12-07T00:00:00+00:00,BTC-MOVE-WK-20191213,False,1.0,False,0.25,0.0001,move,BTC,Bitcoin,1013.0
5,,,Bitcoin Weekly MOVE 2019-12-20 Contracts,False,True,2019-12-21T00:00:00+00:00,2019-12-20,weekly,0.002,7189.66924748,65.5,0.0,7189.66924748,62.94970985,2019-12-14T00:00:00+00:00,BTC-MOVE-WK-20191220,False,1.0,False,0.25,0.0001,move,BTC,Bitcoin,784.75
6,,,Bitcoin Weekly MOVE 2019-12-27 Contracts,False,True,2019-12-28T00:00:00+00:00,2019-12-27,weekly,0.002,7244.23088751,51.25,0.0,7244.23088751,56.39128289,2019-12-21T00:00:00+00:00,BTC-MOVE-WK-20191227,False,1.0,False,0.25,0.0001,move,BTC,Bitcoin,774.75
7,,,Bitcoin Weekly MOVE 2020-01-03 Contracts,False,True,2020-01-04T00:00:00+00:00,2020-01-03,weekly,0.002,7329.91117421,39.5,0.0,7329.91117421,46.16498697,2019-12-28T00:00:00+00:00,BTC-MOVE-WK-0103,False,2.0,False,0.25,0.0001,move,BTC,Bitcoin,774.0
8,,,Bitcoin Weekly MOVE 2020-01-10 Contracts,False,True,2020-01-11T00:00:00+00:00,2020-01-10,weekly,0.002,8188.46236425,791.25,0.0,8188.46236425,788.7371404,2020-01-04T00:00:00+00:00,BTC-MOVE-WK-0110,False,2.0,False,0.25,0.0001,move,BTC,Bitcoin,1614.5
9,,,Bitcoin Weekly MOVE 2020-01-17 Contracts,False,True,2020-01-18T00:00:00+00:00,2020-01-17,weekly,0.002,8896.33331957,765.75,0.0,8896.33331957,758.37227191,2020-01-11T00:00:00+00:00,BTC-MOVE-WK-0117,False,2.0,False,0.25,0.0001,move,BTC,Bitcoin,1653.5
10,,,Bitcoin Weekly MOVE 2020-01-24 Contracts,False,True,2020-01-25T00:00:00+00:00,2020-01-24,weekly,0.002,8431.90431237,471.75,0.0,8431.90431237,500.74076786,2020-01-18T00:00:00+00:00,BTC-MOVE-WK-0124,False,2.0,False,0.25,0.0001,move,BTC,Bitcoin,1333.25
11,,,Bitcoin Weekly MOVE 2020-01-31 Contracts,False,True,2020-02-01T00:00:00+00:00,2020-01-31,weekly,0.002,9338.61294743,992.0,61.5,9338.61294743,996.02558896,2020-01-25T00:00:00+00:00,BTC-MOVE-WK-0131,False,2.0,False,0.25,0.0001,move,BTC,Bitcoin,1929.0
12,,,Bitcoin Weekly MOVE 2020-02-07 Contracts,False,True,2020-02-08T00:00:00+00:00,2020-02-07,weekly,0.002,9808.63281195,425.75,0.0,9808.63281195,433.98120621,2020-02-01T00:00:00+00:00,BTC-MOVE-WK-0207,False,2.0,False,0.25,0.0001,move,BTC,Bitcoin,1406.5
13,,,Bitcoin Weekly MOVE 2020-02-14 Contracts,False,True,2020-02-15T00:00:00+00:00,2020-02-14,weekly,0.002,10367.830252248,584.5,0.0,10367.830252248,570.9215453077052,2020-02-08T00:00:00+00:00,BTC-MOVE-WK-0214,False,2.0,False,0.25,0.0001,move,BTC,Bitcoin,1624.0
14,,,Bitcoin Weekly MOVE 2020-02-21 Contracts,False,True,2020-02-22T00:00:00+00:00,2020-02-21,weekly,0.002,9696.514296971,707.0,0.0,9696.514296971,679.9429498691234,2020-02-15T00:00:00+00:00,BTC-MOVE-WK-0221,False,2.0,False,0.25,0.0001,move,BTC,Bitcoin,1678.25
15,,,Bitcoin Weekly MOVE 2020-02-28 Contracts,False,True,2020-02-29T00:00:00+00:00,2020-02-28,weekly,0.002,8705.518158476,940.25,70.75,8705.518158476,944.2999573519278,2020-02-22T00:00:00+00:00,BTC-MOVE-WK-0228,False,2.0,False,0.25,0.0001,move,BTC,Bitcoin,1811.5
16,,,Bitcoin Weekly MOVE 2020-03-06 Contracts,False,True,2020-03-07T00:00:00+00:00,2020-03-06,weekly,0.002,9155.551503126,378.75,0.0,9155.551503126,390.1435322290333,2020-02-29T00:00:00+00:00,BTC-MOVE-WK-0306,False,2.0,False,0.25,0.0001,move,BTC,Bitcoin,1299.0
17,,,Bitcoin Weekly MOVE 2020-03-13 Contracts,False,True,2020-03-14T00:00:00+00:00,2020-03-13,weekly,0.002,5634.422729386,3506.5,2943.0,5634.422729386,3485.500238481906,2020-03-07T00:00:00+00:00,BTC-MOVE-WK-0313,False,2.0,False,0.25,0.0001,move,BTC,Bitcoin,4069.75
